"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"12","Hdfc Bank Limited","HDFCBANK","P&F | F.A","-1.6%","957.8","2,54,38,235"
"509","Rupa & Company Limited","RUPA","P&F | F.A","-1.6%","189.29","1,83,355"
"792","Tata Teleservices (maharashtra) Limited","TTML","P&F | F.A","-1.61%","56.22","5,03,472"
"470","L&T Finance Ltd","LTF","P&F | F.A","-1.62%","216.44","57,17,833"
"510","Piramal Pharma Ltd","PPLPHARMA","P&F | F.A","-1.62%","186.3","22,17,846"
"245","Pricol Ltd.","PRICOLLTD","P&F | F.A","-1.63%","446.75","2,71,693"
"592","Sun Pharma Advanced Research Company Limited","SPARC","P&F | F.A","-1.63%","140.27","1,42,247"
"806","Nova Agritech Ltd","NOVAAGRI","P&F | F.A","-1.63%","50.85","76,111"
"188","Dabur India Limited","DABUR","P&F | F.A","-1.64%","513.85","20,68,611"
"463","Paradeep Phosphates Ltd","PARADEEP","P&F | F.A","-1.65%","222.04","54,51,356"
"586","Avantel Ltd","AVANTEL","P&F | F.A","-1.65%","145.66","9,62,719"
"771","Nmdc Limited","NMDC","P&F | F.A","-1.65%","68.73","1,51,65,740"
"316","Sonata Software Limited","SONATSOFTW","P&F | F.A","-1.66%","358.2","8,25,519"
"549","Hindustan Oil Exploration Company Limited","HINDOILEXP","P&F | F.A","-1.66%","161.35","1,19,534"
"196","Allied Blenders & Distillers Ltd","ABDL","P&F | F.A","-1.67%","501.35","1,88,951"
"569","Vishal Mega Mart Ltd","VMM","P&F | F.A","-1.67%","150.59","3,23,66,115"
"732","Satia Industries Ltd","SATIA","P&F | F.A","-1.67%","83.98","37,195"
"143","Piccadily Agro Industries Ltd","PICCADIL","P&F | F.A","-1.68%","585.85","63,453"
"180","Kiri Industries Limited","KIRIINDUS","P&F | F.A","-1.68%","524.95","1,08,275"
"403","Sunflag Iron And Steel Company Limited","SUNFLAG","P&F | F.A","-1.69%","270.95","2,18,474"
"691","The Jammu & Kashmir Bank Limited","J&KBANK","P&F | F.A","-1.69%","99.29","15,84,251"
"759","JTL Industries Ltd","JTLIND","P&F | F.A","-1.69%","72.87","7,18,123"
"206","Transformers & Rectifiers India Ltd","TARIL","P&F | F.A","-1.71%","491.5","4,88,164"
"416","Sterling & Wilson Renewable Energy Ltd","SWSOLAR","P&F | F.A","-1.71%","262.1","12,24,426"
"658","GMR Power & Urban Infra Ltd","GMRP&UI","P&F | F.A","-1.71%","111.84","7,15,595"
"670","Indogulf Cropsciences Ltd","IGCL","P&F | F.A","-1.71%","106.78","3,66,259"
"521","Nocil Limited","NOCIL","P&F | F.A","-1.72%","176.24","2,67,302"
"608","Fedbank Financial Services Ltd","FEDFINA","P&F | F.A","-1.73%","134.92","9,66,004"
"387","Iti Limited","ITI","P&F | F.A","-1.74%","283.05","1,83,337"
"558","Prakash Industries Limited","PRAKASH","P&F | F.A","-1.74%","157.1","3,99,764"
"123","Paras Defence and Space Technologies Ltd","PARAS","P&F | F.A","-1.75%","640.4","3,58,761"
"293","Power Finance Corporation Limited","PFC","P&F | F.A","-1.75%","381.75","64,29,323"
"303","Tata Power Company Limited","TATAPOWER","P&F | F.A","-1.76%","371.1","57,04,659"
"309","General Insurance Corporation of India","GICRE","P&F | F.A","-1.76%","366.55","12,31,939"
"393","Le Travenues Technology Ltd","IXIGO","P&F | F.A","-1.76%","279.51","12,50,136"
"155","Eureka Forbes Ltd","EUREKAFORB","P&F | F.A","-1.77%","564.9","1,72,653"
"162","Five-Star Business Finance Ltd","FIVESTAR","P&F | F.A","-1.77%","552.75","6,99,469"
"367","Ramco Industries Limited","RAMCOIND","P&F | F.A","-1.77%","306","1,39,860"
"548","Bandhan Bank Ltd","BANDHANBNK","P&F | F.A","-1.77%","162.93","25,13,493"
"427","Enviro Infra Engineers Ltd","EIEL","P&F | F.A","-1.78%","251.2","10,65,355"
"428","Rbl Bank Limited","RBLBANK","P&F | F.A","-1.78%","250.85","5,16,59,384"
"437","Spandana Sphoorty Financial Ltd","SPANDANA","P&F | F.A","-1.78%","242.7","92,421"
"476","Karur Vysya Bank Limited","KARURVYSYA","P&F | F.A","-1.78%","212.25","13,54,942"
"10","Intellect Design Arena Limited","INTELLECT","P&F | F.A","-1.79%","965.5","2,83,068"
"362","Jio Financial Services Ltd","JIOFIN","P&F | F.A","-1.79%","310.1","1,52,43,041"
"760","Shalimar Paints Limited","SHALPAINTS","P&F | F.A","-1.79%","72.77","1,24,484"
"736","Niva Bupa Health Insurance Company Ltd","NIVABUPA","P&F | F.A","-1.81%","81.86","12,51,662"
"426","Cantabil Retail India Limited","CANTABIL","P&F | F.A","-1.82%","253.75","64,503"
"553","Man Infraconstruction Limited","MANINFRA","P&F | F.A","-1.83%","160.83","1,81,627"
"46","Ccl Products (india) Limited","CCL","P&F | F.A","-1.84%","852.2","61,144"
"259","CMS Info Systems Ltd","CMSINFO","P&F | F.A","-1.84%","424.9","5,59,770"
"668","Niit Limited","NIITLTD","P&F | F.A","-1.84%","108.29","2,70,739"
"751","Andhra Paper Ltd","ANDHRAPAP","P&F | F.A","-1.84%","76.87","2,28,245"
"755","Groww Nifty India Defence ETF","GROWWDEFNC","P&F | F.A","-1.84%","74.09","2,59,340"
