symbol,exchange,quantity,type
DDEVPLSTIK,NSE,32,MIS
EVEREADY,NSE,24,MIS
RIIL,NSE,11,MIS
BIKAJI,NSE,13,MIS
QPOWER,NSE,13,MIS
MAFANG,NSE,64,MIS
TOP10ADD,NSE,106,MIS
JAYNECOIND,NSE,170,MIS
CONCOR,NSE,19,MIS
FILATEX,NSE,192,MIS
BAJFINANCE,NSE,11,MIS
AARTIDRUGS,NSE,21,MIS
GAEL,NSE,98,MIS
MASPTOP50,NSE,156,MIS
RADIANTCMS,NSE,170,MIS
BSOFT,NSE,27,MIS
RPTECH,NSE,35,MIS
LINCOLN,NSE,18,MIS
PNCINFRA,NSE,33,MIS
GROWWLIQID,NSE,95,MIS
KTKBANK,NSE,59,MIS
LIQUID,NSE,10,MIS
LIQUIDBEES,NSE,10,MIS
LIQUIDIETF,NSE,10,MIS
HNGSNGBEES,NSE,22,MIS
LIQUIDCASE,NSE,91,MIS
CARBORUNIV,NSE,11,MIS
SUPRIYA,NSE,15,MIS
MBAPL,NSE,23,MIS
ZEEL,NSE,85,MIS
JUBLINGREA,NSE,14,MIS
SALZERELEC,NSE,12,MIS
GREENPANEL,NSE,37,MIS
UGROCAP,NSE,59,MIS
CEIGALL,NSE,41,MIS
INDIQUBE,NSE,46,MIS
TALBROAUTO,NSE,38,MIS
GILT5YBEES,NSE,161,MIS
INDIAGLYCO,NSE,12,MIS
HINDCOPPER,NSE,43,MIS
FAZE3Q,NSE,23,MIS
OMAXAUTO,NSE,67,MIS
TI,NSE,21,MIS
JAGSNPHARM,NSE,43,MIS
HDFCLIFE,NSE,13,MIS
ARISINFRA,NSE,67,MIS
BOMDYEING,NSE,58,MIS
JINDRILL,NSE,16,MIS
PNGJL,NSE,18,MIS
MANYAVAR,NSE,13,MIS
WELCORP,NSE,11,MIS
SURYAROSNI,NSE,36,MIS
GAIL,NSE,58,MIS
GODREJAGRO,NSE,14,MIS
RATEGAIN,NSE,20,MIS
CROMPTON,NSE,31,MIS
PRSMJOHNSN,NSE,68,MIS
RELIGARE,NSE,42,MIS
ATHERENERG,NSE,23,MIS
MAHSEAMLES,NSE,15,MIS
ARIES,NSE,23,MIS
HINDPETRO,NSE,26,MIS
ITCHOTELS,NSE,42,MIS
SHAREINDIA,NSE,67,MIS
SAURASHCEM,NSE,87,MIS
MARINE,NSE,60,MIS
TFCILTD,NSE,33,MIS
APOLLO,NSE,41,MIS
ONGC,NSE,43,MIS
IOC,NSE,72,MIS
ELECTCAST,NSE,102,MIS
BLS,NSE,27,MIS
FEDERALBNK,NSE,52,MIS
SAMBHV,NSE,82,MIS
KOPRAN,NSE,64,MIS
PSUBANKADD,NSE,145,MIS
RAYMONDREL,NSE,16,MIS
SAMMAANCAP,NSE,85,MIS
TNPL,NSE,62,MIS
TRANSRAILL,NSE,13,MIS
IGL,NSE,48,MIS
KECL,NSE,86,MIS
SUNTV,NSE,18,MIS
BPCL,NSE,32,MIS
INDIANB,NSE,15,MIS
THEMISMED,NSE,100,MIS
GRANULES,NSE,21,MIS
ZAGGLE,NSE,25,MIS
GIPCL,NSE,55,MIS
CLEDUCATE,NSE,87,MIS
SHAKTIPUMP,NSE,12,MIS
FORTIS,NSE,11,MIS
NIFTYETF,NSE,38,MIS
BAJAJHFL,NSE,89,MIS
INDHOTEL,NSE,13,MIS
ONMOBILE,NSE,199,MIS
